ID,CollegeName,CourseName,Caste
945," Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",Civil Engineering,LSTS
946," Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",Civil Engineering,LVJS
947," Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",Civil Engineering,LOBCS
948," Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",Civil Engineering,LNT1S
985," Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",Mechanical Engineering,GOPENS
986," Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",Mechanical Engineering,GSCS
987," Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",Mechanical Engineering,GSTS
988," Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",Mechanical Engineering,GVJS
989," Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",Mechanical Engineering,GOBCS
990," Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",Mechanical Engineering,GNT1S
991," Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",Mechanical Engineering,LOPENS
992," Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",Mechanical Engineering,LSCS
993," Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",Mechanical Engineering,LSTS
994," Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",Mechanical Engineering,LVJS
995," Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",Mechanical Engineering,LOBCS
996," Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",Mechanical Engineering,LNT1S
1117," Progressive Education Society's Modern College of Engineering, Pune",Electrical Engineering,GOPENS
1118," Progressive Education Society's Modern College of Engineering, Pune",Electrical Engineering,GSCS
1119," Progressive Education Society's Modern College of Engineering, Pune",Electrical Engineering,GSTS
1120," Progressive Education Society's Modern College of Engineering, Pune",Electrical Engineering,GVJS
1121," Progressive Education Society's Modern College of Engineering, Pune",Electrical Engineering,GOBCS
1122," Progressive Education Society's Modern College of Engineering, Pune",Electrical Engineering,GNT1S
1123," Progressive Education Society's Modern College of Engineering, Pune",Electrical Engineering,LOPENS
1124," Progressive Education Society's Modern College of Engineering, Pune",Electrical Engineering,LSCS
1125," Progressive Education Society's Modern College of Engineering, Pune",Electrical Engineering,LSTS
1126," Progressive Education Society's Modern College of Engineering, Pune",Electrical Engineering,LVJS
1127," Progressive Education Society's Modern College of Engineering, Pune",Electrical Engineering,LOBCS
1128," Progressive Education Society's Modern College of Engineering, Pune",Electrical Engineering,LNT1S
1141," Progressive Education Society's Modern College of Engineering, Pune",Mechanical Engineering,GOPENS
1142," Progressive Education Society's Modern College of Engineering, Pune",Mechanical Engineering,GSCS
1143," Progressive Education Society's Modern College of Engineering, Pune",Mechanical Engineering,GSTS
1144," Progressive Education Society's Modern College of Engineering, Pune",Mechanical Engineering,GVJS
1145," Progressive Education Society's Modern College of Engineering, Pune",Mechanical Engineering,GOBCS
1146," Progressive Education Society's Modern College of Engineering, Pune",Mechanical Engineering,GNT1S
1147," Progressive Education Society's Modern College of Engineering, Pune",Mechanical Engineering,LOPENS
1148," Progressive Education Society's Modern College of Engineering, Pune",Mechanical Engineering,LSCS
1149," Progressive Education Society's Modern College of Engineering, Pune",Mechanical Engineering,LSTS
1150," Progressive Education Society's Modern College of Engineering, Pune",Mechanical Engineering,LVJS
1151," Progressive Education Society's Modern College of Engineering, Pune",Mechanical Engineering,LOBCS
1152," Progressive Education Society's Modern College of Engineering, Pune",Mechanical Engineering,LNT1S
1249," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Civil Engineering,GOPENS
1250," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Civil Engineering,GSCS
1251," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Civil Engineering,GSTS
1252," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Civil Engineering,GVJS
1253," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Civil Engineering,GOBCS
1254," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Civil Engineering,GNT1S
1255," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Civil Engineering,LOPENS
1256," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Civil Engineering,LSCS
1257," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Civil Engineering,LSTS
1258," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Civil Engineering,LVJS
1259," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Civil Engineering,LOBCS
1260," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Civil Engineering,LNT1S
1273," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Electrical Engineering,GOPENS
1274," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Electrical Engineering,GSCS
1275," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Electrical Engineering,GSTS
1276," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Electrical Engineering,GVJS
1277," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Electrical Engineering,GOBCS
1278," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Electrical Engineering,GNT1S
1279," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Electrical Engineering,LOPENS
1280," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Electrical Engineering,LSCS
1281," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Electrical Engineering,LSTS
1282," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Electrical Engineering,LVJS
1283," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Electrical Engineering,LOBCS
1284," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Electrical Engineering,LNT1S
1297," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Mechanical Engineering,GOPENS
